time (seconds), threads, seq
16.408217, 1, true
16.424282, 1, true 
16.415582, 1, true 
16.424559, 1, true 
16.423984, 1, true 
16.442164, 1, false
16.460703, 1, false
16.457413, 1, false
16.456855, 1, false
16.457708, 1, false
11.573635, 2, false
11.577553, 2, false
11.585756, 2, false
11.582476, 2, false
11.589203, 2, false
10.679814, 4, false
10.684741, 4, false
10.686237, 4, false
10.689403, 4, false
10.691382, 4, false
11.784540, 8, false
11.785410, 8, false
12.017444, 8, false
11.779556, 8, false
11.773458, 8, false